# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
2.700000000000000000e+01 1.000872667816583999e+03 2.755441015968629781e+00 3.215419339401178078e+00 4.276283173794201531e+00 -7.489430339085312305e-01 4.521594441498265338e-02 -1.985139896941209153e-03 -2.706076309485204792e-03 -9.020098698371720528e-03
7.050000000000000000e+01 2.631114532225190487e+03 -8.640725748398338624e+00 -1.699153810657626051e+00 -1.193156859403059045e+01 -1.397086453534320594e+00 3.509322963153816421e-01 -1.134941363266476350e-02 6.012042261259958886e-02 1.387631002970612232e-02
1.065000000000000000e+02 2.847421571185627727e+03 -2.740030363299053562e+01 7.880098157361419275e-01 -2.916176161592361638e+01 -4.068892165417333118e+00 8.084947721170991919e-01 6.680610860463660761e-02 3.533807497481445542e-02 4.061019356589222473e-03
1.425000000000000000e+02 4.112041354314859746e+03 -4.321800512396293925e+01 1.646512902842407255e+00 -4.384857564931160567e+01 8.634955978877821847e-01 9.954327529418811604e-01 6.942301499799050785e-03 2.087564263921526039e-02 -5.387603988631534807e-02
1.785000000000000000e+02 5.030564306692993341e+03 -3.577715548860890493e+01 3.105055725119350907e+00 -3.532186592008713433e+01 7.374693479732683521e-01 8.483625016034168631e-01 -3.859660046155363733e-02 -1.904329970825655374e-02 -6.559940431487891639e-03
2.145000000000000000e+02 5.528006618286594858e+03 7.518361621742711165e+00 1.216007173092513050e+00 8.186291803967495895e+00 9.760641783904224766e-01 8.441987895188531876e-01 7.286537794803228489e-04 -3.666576607885732586e-02 6.242329542693968863e-02
2.505000000000000000e+02 5.430762270144476133e+03 6.297078905761201639e+01 1.861984952900678003e+00 6.261790559006512069e+01 7.227296079713820820e-01 2.467698273259483877e+00 5.142148167353870203e-02 9.279022069782823234e-03 2.012308116662100965e-02
2.865000000000000000e+02 4.412130350623645427e+03 1.093439161574815728e+02 -1.749951217742867993e+00 1.049863760785281954e+02 1.007302036211311869e+00 6.823836739160151765e+00 -6.160500778372110520e-02 -1.892310179321355507e-02 1.220270111902393290e-02
3.225000000000000000e+02 3.318656435468157269e+03 1.179431996331703374e+02 -1.811774451710659317e+00 1.205390265896108417e+02 -7.558351175727320292e-01 1.341059981307893523e+01 4.167193171130489926e-02 2.387178035031769369e-02 -9.621736374917613105e-03
3.585000000000000000e+02 2.343542751974353905e+03 7.569507405059125915e+01 9.106819891326944916e-02 7.856296344759743988e+01 -4.193222550093127499e-01 1.869411614687128775e+01 1.315166215936057204e-01 7.036299771260018376e-02 4.728726717027734172e-02
3.945000000000000000e+02 1.758025378063519383e+03 8.164298073743941231e+00 1.099285664185952083e+00 6.330357904316249673e+00 -8.106446671492892886e-01 2.154595036399619801e+01 -9.709997200252590277e-02 -5.479429454011237877e-02 2.363920713304419260e-03
4.305000000000000000e+02 1.797047753311195493e+03 -4.994987505013790496e+01 1.819992842314521964e+00 -5.131394942324948971e+01 6.030581312670862948e-01 1.980130714665798308e+01 -1.990644459153662893e-01 -6.546057618690667712e-02 1.034578886270395987e-01
4.665000000000000000e+02 2.092202183754585349e+03 -7.218170318675086605e+01 -1.264124680050613847e+00 -7.148845725935655082e+01 -9.474838083619947504e-01 1.327848818765690453e+01 1.232756465916625133e-01 -1.502119108390143759e-03 9.863619676023474558e-02
5.025000000000000000e+02 2.441744342617607799e+03 -5.580276232599433683e+01 -6.189214947350050178e-01 -5.515237807291291006e+01 -6.421223913472255962e-01 8.055210678153709836e+00 -1.194151566705128203e-03 -4.043147533079275574e-02 3.536192301351154255e-02
5.385000000000000000e+02 2.583250437727296230e+03 -1.262517797089978089e+01 9.854532409508107160e-02 -1.183058493352648455e+01 1.142423429098339938e+00 7.625156423729563926e+00 6.591708190624399888e-02 -1.755386670581221033e-03 1.225753371538610970e-01
5.745000000000000000e+02 2.422467055431160588e+03 2.255152515588191520e+01 -1.471812088990305245e-01 1.958845117047767559e+01 5.080048374148055101e-01 1.292613119351659456e+01 3.342556890856979157e-02 -5.286842514223463740e-02 1.290746952597100206e-01
6.105000000000000000e+02 2.115729313563933374e+03 1.971326600281555130e+01 -8.475959330668636493e-01 2.238449187933164453e+01 -1.009146708153979999e+00 2.293045616046082813e+01 -2.699568419374842598e-01 3.892935892978281048e-02 1.110194559965105021e-01
6.465000000000000000e+02 1.859542797668646472e+03 -1.263726908262764326e+01 -2.776104523283013936e-01 -1.366206353489539183e+01 -1.058549752470884009e+00 3.362431981296759886e+01 1.056516786697726668e-01 1.202593353918768454e-01 -5.973894836629777688e-02
6.825000000000000000e+02 1.811008222633329524e+03 -6.723509848062258243e+01 -8.203915109296842090e-01 -6.581483594112773972e+01 -2.504242506939937107e-01 3.797318357868514482e+01 -6.733233960561320341e-02 1.324784289821470395e-01 1.275227050384510619e-01
7.185000000000000000e+02 2.012017311161295311e+03 -1.205722212159223261e+02 1.942855286746963950e-02 -1.171368137664087357e+02 -7.190106535121829623e-01 3.544723964410228945e+01 8.466911614992143897e-02 -1.313636618040369686e-01 1.654203244817980534e-01
7.545000000000000000e+02 2.286161230887003967e+03 -1.376490324597639869e+02 -2.365186349088266304e-02 -1.344514439519454072e+02 -2.769287170270330889e-01 2.753593809969588335e+01 4.607853774236213978e-02 -7.962912583652634324e-02 1.532709798974634663e-01
7.905000000000000000e+02 2.489849205329442157e+03 -1.002346512527016387e+02 -1.625457343456184089e+00 -9.839015840349586028e+01 -1.981275412772081634e-01 1.740200268810103523e+01 -1.378631651683115411e-01 1.088519496988956392e-01 1.597700917047342739e-01
8.265000000000000000e+02 2.500821659490194179e+03 -4.324507567080650006e+01 -5.462867866431215802e-01 -4.073206296094461720e+01 -5.355238150248387008e-01 1.261729153956460081e+01 -9.997493824565505116e-02 5.139148184499639505e-02 2.735746025694937855e-01
8.625000000000000000e+02 2.323588579132499035e+03 1.829881260784973307e+01 -4.290584914942976447e-01 1.824811702366566735e+01 9.745079204237547810e-01 1.461608089228677798e+01 -4.458420873945113938e-02 -1.104327963661675821e-01 1.367883675513795472e-01
8.985000000000000000e+02 1.940453191395391514e+03 5.651334294724502882e+01 -4.434080673441678222e-01 5.811080356712291461e+01 -9.590166556937584907e-01 2.348732464967912037e+01 -2.113804835074208771e-02 -1.318106171261860249e-01 8.191542336692664295e-02
9.345000000000000000e+02 1.521239488418935707e+03 5.258268979590933156e+01 1.272797431633733378e+00 5.149508581218645986e+01 -8.168334675745125839e-03 3.394942194511642697e+01 1.405298268357341174e-01 2.162243966284504992e-01 6.043801231207238805e-02
9.705000000000000000e+02 1.202825149544489250e+03 1.412267522999665559e+01 2.242598697459535217e-01 1.328817823646662077e+01 6.074116570621467259e-01 4.045516968872207997e+01 3.231576435435068451e-02 3.632084098915007442e-02 1.866542877867184702e-02
1.006500000000000000e+03 1.057543759090073991e+03 -3.138257411579987277e+01 4.449523688302859936e-01 -3.334481480352190630e+01 -1.213058161267376978e+00 4.100097884956639405e+01 -3.011105070276935969e-01 9.808249174527523817e-02 2.583629370455919894e-01
1.042500000000000000e+03 1.083159636452788163e+03 -7.133117628950938638e+01 -6.334677382912679011e-01 -7.151525834247357238e+01 -1.078396174125551443e+00 3.580149225268112900e+01 7.687849722704437339e-02 -2.622239609360706158e-02 1.068259859046265942e-01
1.078500000000000000e+03 1.176689172923908473e+03 -7.735147923113925117e+01 -9.521169902085162562e-01 -7.813694118709366876e+01 -4.468543412446335239e-02 2.493311888493825990e+01 1.721100822197499380e-01 -8.000487576920692345e-02 -7.203795657092128268e-02
1.114500000000000000e+03 1.248360120254206549e+03 -5.865845655168456574e+01 -7.716238188282693589e-01 -5.828807017431363136e+01 2.567817101172581440e-01 1.669273666251759280e+01 1.198588482437566993e-01 -3.829973955064425173e-02 2.123839136785694026e-01
1.150500000000000000e+03 1.227998323774174878e+03 -2.850340978891974331e+01 -2.307642066016450388e-01 -2.895139234504147652e+01 1.030561494594988803e+00 1.316796196450338741e+01 -1.289452148272280385e-01 -1.078958605028849937e-02 9.388164666770817957e-02
1.186500000000000000e+03 1.125504410424231537e+03 -4.375239971278675810e+00 8.538744130428608248e-01 -3.640842005668250003e+00 -9.253210955316584219e-01 1.560383443200722908e+01 -2.045244081061814989e-01 1.278589081363906699e-01 3.254402704778037309e-02
1.222500000000000000e+03 9.694753954217773071e+02 5.923972393142598492e+00 6.672222640145553108e-01 5.438679101989622566e+00 8.590880226060210179e-02 2.116606569750906885e+01 -6.211657781632740072e-02 -2.599328268658602364e-02 -1.317436944612484367e-02
1.258500000000000000e+03 8.229948143902794300e+02 -5.374628459425570881e+00 1.330033029862809357e+00 -4.025735545882166200e+00 -1.508392226752388043e-01 2.772045296790604851e+01 -1.593590710173591329e-01 -7.705523893308022232e-02 9.559956112220696633e-02
1.294500000000000000e+03 7.575426556839232717e+02 -2.579768189297593395e+01 -2.930273721401710496e-01 -2.627332991629044656e+01 8.251166818087043442e-01 2.988909334875375379e+01 -2.017701780923279731e-01 -4.484688647089485336e-02 1.424895394636880586e-01
1.330500000000000000e+03 7.379201261003436230e+02 -5.102733939183538325e+01 8.695638474461898637e-01 -5.021740181842409356e+01 3.575122513950655945e-01 2.866515969348378690e+01 -2.184023273185882463e-01 -2.271324812841355248e-02 6.194538789239159571e-02
1.366500000000000000e+03 7.770321378044808398e+02 -6.107565882055871498e+01 3.378330897842081182e-01 -5.965230076755386079e+01 2.849811817823409976e-01 2.365845602924365210e+01 2.385429209313863763e-01 -7.666101098516056589e-02 3.602103987410750635e-02
1.402500000000000000e+03 8.261893684173112433e+02 -5.127759642160388864e+01 -9.429980006595288788e-01 -5.235498292139811838e+01 5.385171071394090347e-01 1.663574973021989223e+01 1.747450280802848033e-02 3.296789414807320406e-02 -3.198997380368982790e-02
1.438500000000000000e+03 8.162851796929764987e+02 -3.407789410687229292e+01 8.697584099722963646e-01 -3.421962656323861296e+01 5.723679125618754693e-01 1.256052416151231910e+01 -9.738742918722358144e-02 -4.899101899057758946e-02 2.513639898056173050e-01
1.474500000000000000e+03 7.688788138258228173e+02 -1.242040750781474046e+01 -3.756078958692990466e-02 -1.372647511979941370e+01 1.832686887357687089e-01 1.133172938197803603e+01 -4.624012560848472786e-02 3.148571312483081086e-01 1.611702981821576119e-01
1.510500000000000000e+03 6.694633196678673812e+02 4.714681726434334585e+00 1.795700269627498624e+00 2.252167762122981642e+00 -4.159938375456524451e-01 1.371440438380723492e+01 8.408461362138572315e-02 -3.017372181960999850e-02 1.961120751553343533e-01
1.546500000000000000e+03 5.580120072870190597e+02 5.958710710232221430e+00 1.007324774947943258e+00 5.035307932736913017e+00 -1.418938561588613534e-01 1.702455844144117947e+01 -6.673065910536411793e-02 -1.702491221045892011e-01 3.103900675150041838e-02
1.582500000000000000e+03 4.757645166110283981e+02 -2.189444027326070241e+00 -6.907180000855086544e-01 -8.149312270450709272e-01 -5.635101903480412844e-01 2.042770750112079980e+01 -2.901403506482410077e-01 5.907827357180953087e-02 2.072697752474478294e-01
1.618500000000000000e+03 4.182621035232401141e+02 -1.416455877039190980e+01 3.842701841855382661e-01 -1.488524443307276002e+01 7.675728721962313816e-01 2.055765025981721905e+01 -1.424673856492429114e-01 2.494765097742496218e-02 1.213441155312699471e-01
1.654500000000000000e+03 4.050139243626797452e+02 -2.534620579311413735e+01 -4.274621607340245433e-01 -2.502429232167024153e+01 -4.517741245212099077e-01 1.874329343045825880e+01 1.692335547033698984e-01 -1.878388164410046690e-01 7.440763464355307222e-03
1.690500000000000000e+03 4.137321579081655045e+02 -3.064522446105040387e+01 9.044324649193509202e-01 -3.169150776079288434e+01 -2.670162762969363057e-01 1.504328483891206858e+01 -4.976947969583966902e-02 -1.329662082295400283e-01 1.693961702751156650e-01
1.726500000000000000e+03 4.143415360781590380e+02 -2.570581757076809737e+01 -1.370349559781681048e+00 -2.655152279837026086e+01 5.550744668546183647e-01 1.080486627424165746e+01 3.457503156511216313e-01 -2.804362379066081545e-01 3.331604266892045085e-02
1.762500000000000000e+03 4.039284056963290368e+02 -1.747047166291720188e+01 -1.210591805327559944e+00 -1.771936063511313364e+01 3.264236747686596884e-01 8.491967275360803313e+00 1.437189237684622367e-01 -2.453029467226442717e-01 -1.056390484655907180e-02
1.798500000000000000e+03 3.762254802275585917e+02 -1.052035346834504281e+01 8.478031812799675659e-01 -1.067228660476205349e+01 6.051255476355131835e-01 7.746825046808385018e+00 -7.109635598007242596e-02 -2.464767666069301866e-01 1.287921911635964145e-01
1.834500000000000000e+03 3.344183543711636730e+02 -4.085436125476565650e+00 -1.227798242610758539e+00 -4.409402713803284968e+00 4.116361320220043307e-01 8.597778311308712063e+00 9.165219696231709234e-02 -1.336691770299155146e-01 -1.850208422612396597e-01
1.870500000000000000e+03 2.976386580426935780e+02 -4.217491077536835498e+00 -4.135551772705111651e-01 -6.404464501562168621e+00 -2.484565595260164184e-01 1.039605547338210911e+01 9.422719507841845199e-02 9.084809188091494403e-02 -2.301445483601253783e-01
1.906500000000000000e+03 2.728188159394890704e+02 -1.096868747213123285e+01 2.871163858097424137e-01 -1.035153073851900984e+01 -4.856144626614769533e-01 1.111016474835296997e+01 1.725537781346153099e-01 -1.139738255603444245e-01 -1.620034759887021281e-01
1.942500000000000000e+03 2.552313649678553134e+02 -1.364815559247619703e+01 -5.453871797893753426e-01 -1.307888804399055260e+01 5.906774601937827551e-01 1.092921750614562626e+01 -1.523963042117836009e-01 -9.206947076499169547e-02 -1.816924516771442621e-02
