# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
7.050000000000000000e+01 2.055820152298721496e+03 -5.115937412087453673e+00 1.068055638443964117e+00 -9.083287663304721704e+00 2.535695880199698493e+00 3.938825660775508997e-01 -3.844381910559972748e-02 -2.162550758448857427e-02 -1.478308486905388977e-02
1.065000000000000000e+02 3.056049105449645140e+03 -2.716077824983755562e+01 -2.835617182373495027e+00 -2.643133046158702015e+01 -3.390014708495499018e-01 8.028187445706467251e-01 -4.632951471125022758e-02 -4.309943528921531680e-02 6.046072454339734142e-02
1.425000000000000000e+02 4.029031971206994058e+03 -4.281332148592961317e+01 -2.785818542971289169e+00 -4.568628493557994830e+01 2.675944467229869339e-01 1.061916063917763164e+00 9.270892993708352778e-03 -2.386301794105016860e-02 1.049828559654137142e-02
1.785000000000000000e+02 4.948757080424814376e+03 -3.513658181055105700e+01 -3.850187121817719937e+00 -3.457377547394139583e+01 -8.010374975385137208e-01 8.142068829065455260e-01 -2.893608515017227073e-02 8.551705668440705288e-04 2.268479267001684285e-02
2.145000000000000000e+02 5.576956752551763202e+03 4.387775909943759878e+00 3.315849730770866977e+00 7.636705303428357183e+00 -5.015119663706191222e-01 8.013055022192049348e-01 4.829802389180437583e-02 -2.969548908907374690e-02 2.855064910148667756e-02
2.505000000000000000e+02 5.467794227805478840e+03 6.466558632603928913e+01 -9.382879810683872890e-01 6.694281162460683277e+01 6.982528758128303537e-02 2.536301471860608725e+00 1.438711381264991263e-02 4.659045805976529120e-03 2.028598849003534349e-02
2.865000000000000000e+02 4.459936429832481736e+03 1.098177058380348683e+02 -2.061741869192828425e+00 1.088184322607788772e+02 1.209091710213182846e+00 6.854507629693671333e+00 -3.397871446513515969e-02 2.069859505323394869e-02 3.084597352965430875e-03
3.225000000000000000e+02 3.275418261180730497e+03 1.147828585210097856e+02 -7.677995694654569103e-01 1.177880351417399112e+02 -1.074021684250070718e+00 1.330840321898149980e+01 -3.860154201487415310e-02 -1.157518504884012811e-02 9.236591203302377262e-02
3.585000000000000000e+02 2.350800026931003686e+03 7.424037970132634712e+01 1.466763346071939811e-01 7.753018823268001825e+01 -2.029319816174319779e-01 1.903741688398096699e+01 -7.989223517564231214e-02 -5.319169558290436084e-02 7.049282644381971163e-02
3.945000000000000000e+02 1.764082170214068356e+03 1.143751861262459713e+01 -9.510096137631383062e-01 1.410622240572519814e+01 -1.913850072796177693e-02 2.103710064620736020e+01 -5.468906086993846616e-02 1.928386871109100120e-02 5.478595490826255673e-03
4.305000000000000000e+02 1.810070318218410648e+03 -4.769026438575150451e+01 7.307578033290922370e-01 -4.800243090313206551e+01 -2.618820433402568870e-01 1.883782879231568330e+01 2.325384686957391311e-01 -4.345613930031921868e-02 3.778708466603242222e-02
4.665000000000000000e+02 2.105560002152605193e+03 -7.203445064240554530e+01 8.483846799474098477e-01 -7.435467588739055600e+01 3.609246515488044871e-01 1.344046225108878900e+01 -7.562119385955917705e-02 -3.641646720144101068e-02 -6.391872218884524920e-03
5.025000000000000000e+02 2.425142071542411941e+03 -5.779016904953140710e+01 1.019941089480977503e+00 -5.655303840469989041e+01 -1.058369849160921028e+00 7.926797187087533558e+00 -7.596262037511160303e-02 6.480836788671620607e-02 5.191366203113025046e-02
5.385000000000000000e+02 2.546022932609951567e+03 -1.478611673999183829e+01 -1.700041603191240203e-01 -1.389027205909760454e+01 -8.122395594645831496e-01 7.422222271745030575e+00 -9.108035462449289021e-02 -1.393894964533683445e-01 4.600765998425149217e-02
5.745000000000000000e+02 2.380836267607769514e+03 2.109727894602818310e+01 1.234707255804424975e+00 2.260641881662567698e+01 -2.587418961071098478e-01 1.294263592442115751e+01 4.384083589351277926e-02 -1.213134672629818389e-01 1.003333108495453596e-01
6.105000000000000000e+02 2.163662596137210130e+03 2.715860606909735964e+01 -6.958786805320488211e-01 2.690901345088833452e+01 -3.362140872171075490e-01 2.241240407700160731e+01 6.423404053528959656e-02 9.660482210226697952e-02 1.275889110905273072e-01
6.465000000000000000e+02 1.883476201316057541e+03 -1.408375927254514082e+01 -2.262593250222873831e+00 -1.420656480810790256e+01 -5.678144630884155442e-01 3.299330842124911101e+01 1.883798201522352000e-01 -1.642803178504460837e-01 9.924425456074678631e-02
6.825000000000000000e+02 1.815383852187083448e+03 -6.409024991925825532e+01 2.452173091319049258e-01 -6.635971492035372421e+01 1.966823318534436649e-01 3.743757087349246149e+01 -4.036486906768905758e-01 -1.037069704884878707e-01 5.963303894028083169e-02
7.185000000000000000e+02 1.964808462913302264e+03 -1.183506184965580985e+02 6.676273095024032322e-02 -1.186423857908547035e+02 9.037099905787752130e-01 3.468145420841717907e+01 -1.682495291453692254e-01 -4.378823582876228276e-02 1.496338608671820003e-01
